Date,Open,High,Low,Close,Volume
2018-01-02,87.34125554327947,88.75166556178543,87.22314359018205,88.6405029296875,5626000
2018-01-03,88.55713945636158,89.58542177722516,88.16806223803567,89.28665924072266,5805500
2018-01-04,88.89756772607751,89.17548755272945,88.39037861957911,89.00873565673828,4598300
2018-01-05,88.91147339342963,89.00179866942354,88.30700964945004,88.86283874511719,4189200
2018-01-08,88.83504853916914,89.37003498209816,88.6752459482116,89.30055236816406,4826100
2018-01-09,89.2310562708271,89.58540270616515,88.78640047367037,88.82113647460938,4422300
2018-01-10,89.14768300791238,89.4603335110667,88.79334718454503,89.39086151123047,5292200
2018-01-11,89.5715159695416,92.6285707005014,89.46034802989398,92.10748291015625,11641300
2018-01-12,91.8434648638642,92.99680842388423,91.78788089212797,92.82311248779297,7232900
2018-01-16,92.87172716689827,93.01763639485263,91.43353055605331,91.7183837890625,6254200
2018-01-17,91.84344354401962,92.26726195376263,90.98886270526299,91.96155548095703,5632700
2018-01-18,91.95462472070385,92.05883803257048,91.03750517004678,91.42658233642578,5890000
2018-01-19,91.5933321518729,91.71144410315219,90.46778600310532,91.22509765625,6048900
2018-01-22,91.2251012633054,92.10052490234375,91.21120262097081,92.10052490234375,5248800
2018-01-23,91.97546190209124,92.1005178688789,90.82906253208596,91.03055572509766,5747300
2018-01-24,91.2806917823359,92.1769581484226,91.06531051770196,91.28763580322266,6868200
2018-01-25,91.544693582893,91.62112021152376,90.55810203246892,90.77348327636719,4597200
2018-01-26,90.81515800393856,91.53772819559909,90.5789235514132,91.14865112304688,6310500
2018-01-29,90.36357536283502,91.41964966088717,89.15465838893067,89.26581573486328,6350700
2018-01-30,88.66134227813487,88.93925149838206,86.97996711205784,87.00775909423828,8084000
2018-01-31,87.13975249587303,87.41766697898525,86.18790241474431,87.09111785888672,9626800
2018-02-01,87.26482306853822,87.28566572936161,86.19485563978408,87.24398040771484,7844500
2018-02-02,86.11842024214002,86.11842024214002,81.73433766967521,82.38743591308594,13182600
