Date,Open,High,Low,Close,Volume
2018-01-02,167.280190591348,170.3625820895637,166.8424099917403,168.25405883789062,2509300
2018-01-03,168.7007460882552,171.63125249526863,168.3076270475466,170.27320861816406,3364400
2018-01-04,171.54193552447708,171.8099725253197,167.57502608420504,168.95094299316406,3525800
2018-01-05,169.2457052886625,169.46906710019243,166.82447088611488,167.74472045898438,2819000
2018-01-08,167.3605839685196,168.84369638416138,167.2980361028074,168.39697265625,1961800
2018-01-09,168.87053204361976,169.12963949138165,166.31527127037174,166.4403533935547,2241900
2018-01-10,165.95787948338028,166.3956736830073,164.28713695690539,165.6630401611328,2609500
2018-01-11,165.671981913724,170.3536522452824,165.314608326918,169.20111083984375,4678600
2018-01-12,169.84439669476637,171.7027557329418,169.75504648028948,171.39898681640625,3499500
2018-01-16,171.85461216869447,172.29239266790404,170.55017297132682,171.12197875976562,2006600
2018-01-17,172.015472990809,172.04227532936724,170.95226811823554,171.80104064941406,2585200
2018-01-18,171.74737863548395,172.46213923525286,170.84500172844196,171.10409545898438,1908000
2018-01-19,171.28285301533552,172.11375277649887,170.79145408688615,171.80104064941406,2353800
2018-01-22,171.988679467156,174.00786632862997,171.59556030424804,173.66836547851562,3009100
2018-01-23,172.980365110625,173.41815927852193,171.60446200611912,172.81060791015625,2316400
2018-01-24,173.71298697773022,173.99889671511053,171.47936827792137,173.54324340820312,2799200
2018-01-25,174.2222430520477,177.30463385638345,173.98995163583146,176.85791015625,3558700
2018-01-26,176.67921971367085,178.0015180212368,174.83872028881922,177.7156219482422,2756200
2018-01-29,177.23316854680488,178.58228293852648,176.50947828437413,177.18850708007812,2031100
2018-01-30,176.53629483537847,177.60842914876835,175.18719396792997,176.82220458984375,2285000
2018-01-31,176.4022762334177,177.3225260659689,173.4181648612046,174.10610961914062,2682300
2018-02-01,172.80168097681397,174.5796327430949,171.93503582758018,172.85528564453125,2096600
2018-02-02,170.87180250722213,172.97140919381397,170.46975393379003,170.63951110839844,2386600
2018-02-05,170.34469476043358,171.63126127477366,163.08096260076218,163.29539489746094,3407200
2018-02-06,159.84668590994664,165.5022098817025,157.42543733167545,165.2967071533203,4067900
2018-02-07,164.93038782664084,166.3509658547054,163.56341445881648,163.67062377929688,2594800
2018-02-08,164.850009635025,164.850009635025,159.5071968733797,159.57867431640625,3013200
2018-02-09,160.6239786416549,162.66998090056188,157.05911847108138,161.4638214111328,2777200
2018-02-12,162.46454260340286,163.73323682723407,161.16011646651825,161.7676544189453,1596200
2018-02-13,161.01713858314167,164.9304437015174,160.86525411669766,164.52838134765625,2123900
2018-02-14,163.24180927291758,168.39699186536157,162.88442207006543,167.3874053955078,2191000
2018-02-15,168.4982342319457,171.741178397661,167.13656976364737,171.53512573242188,2072900
2018-02-16,171.50825349700293,174.34805949444828,171.1409564840144,171.60679626464844,1969300
2018-02-20,170.09281777102015,171.53511801576784,168.08614867878546,168.5251007080078,2202100
2018-02-21,168.89236065730063,169.43882246047113,166.34818366228592,166.4019317626953,1747200
2018-02-22,166.93948751777154,168.71324368206777,166.32135684869937,167.15447998046875,1360100
2018-02-23,168.26530652510297,170.07490368622837,166.54529866014107,170.0390625,1561700
2018-02-26,170.2988787026078,172.98639379837073,170.14657415143495,172.72659301757812,1852400
2018-02-27,173.29992413871526,175.1543160638269,170.2988739013672,170.2988739013672,2170400
2018-02-28,171.64258527586716,173.5775851814073,171.00653421089203,171.01548767089844,2179800
2018-03-01,171.3828579370279,172.88787369604674,167.80847113950267,169.34034729003906,2447700
2018-03-02,167.95176347365734,170.55865625104116,167.71885043273738,169.60906982421875,2275900
2018-03-05,168.82073658904974,171.98304491343256,167.96969287901115,171.53512573242188,2155800
2018-03-06,172.1263447884744,172.22488753357933,170.2719668916524,171.51718139648438,2458700
2018-03-07,169.5015597552267,169.98530639128745,165.53298923573385,167.84425354003906,5157100
2018-03-08,166.7961093881291,166.93944677455025,164.01005216056882,166.3481903076172,6061500
2018-03-09,167.0737890854752,168.9908818826289,165.0312795135321,168.9371337890625,3288100
2018-03-12,168.6594531750532,170.2988386381159,168.01444861026113,169.64486694335938,2394100
2018-03-13,170.25411746652503,170.31681905630685,167.34264220800836,167.93389892578125,1964300
2018-03-14,169.1163594799788,169.32239846921954,164.38633417333943,165.3986358642578,2866000
2018-03-15,165.56881856449007,167.13653537547134,164.97756208654832,166.1869354248047,1811300
2018-03-16,166.78713756664163,166.84985279746388,165.25526200924725,166.50942993164062,3569400
2018-03-19,166.29449392109095,166.6080291733125,163.76822296004252,164.96864318847656,2493200
2018-03-20,165.819690779174,168.04136614986103,165.37177158600434,167.8353271484375,1852500
2018-03-21,167.36947661811362,168.3190630595822,166.67967727747006,166.6886444091797,2048300
2018-03-22,165.64047994118746,166.22278298066695,163.49047370001827,163.6158905029297,2489800
2018-03-23,164.18925045455967,165.23737967581565,161.99444924751558,162.00340270996094,2351800
2018-03-26,163.965291941701,168.02343856955846,163.3471612937186,167.71885681152344,2036600
2018-03-27,167.91592289238693,168.11300839991281,163.09630875828336,164.07276916503906,2495300
2018-03-28,164.48489379882812,165.38968568729862,162.35279397262707,164.48489379882812,2168700
2018-03-29,165.4971637396972,168.99092745777926,165.20153547595075,168.80279541015625,3016000
2018-04-02,167.44113757770648,167.44113757770648,162.19152466679392,163.71444702148438,3599200
2018-04-03,164.41317397124163,164.9865098383567,162.460253372739,163.58900451660156,2287000
2018-04-04,162.26320821565525,166.93948559724603,162.09299673837222,166.19593811035156,2111000
2018-04-05,167.25302383156756,167.52177808108746,165.66738606186823,166.8498992919922,1933600
2018-04-06,166.0346636699062,167.74571806675894,164.0279946694909,164.7984161376953,2259000
2018-04-09,165.9091830056516,167.8800237308801,164.3862612484024,165.20147705078125,1946000
2018-04-10,166.40197878350833,166.59906432030397,163.19487574859,164.43113708496094,2526000
2018-04-11,163.26654306069256,166.9573927737797,163.23966900312413,165.4165496826172,1697300
2018-04-12,166.17797152016064,170.24507057678974,166.16901805993237,169.15216064453125,2841600
2018-04-13,170.03905228412958,170.0569728761671,167.5307025057329,169.23280334472656,1744400
2018-04-16,171.85756320050945,175.40508778919948,171.44548536443847,174.31216430664062,3026800
2018-04-17,175.27970783936087,176.3726315515458,174.4465711941154,175.58428955078125,2160500
2018-04-18,175.85304983672634,177.16993314750346,175.69179184489303,176.04116821289062,1663100
2018-04-19,175.72766603194287,175.9426585022215,173.34473257735308,174.75120544433594,2427600
2018-04-20,174.1777970220574,175.28864119852517,172.6727955598153,173.39842224121094,2252800
2018-04-23,173.6223744889748,174.13300875115752,172.23382274395976,173.21029663085938,1618000
2018-04-24,174.27635992691728,175.0109538228267,171.23946893189475,172.4578094482422,1598900
2018-04-25,172.20695334490554,174.3928004859743,171.45445262501764,173.76571655273438,1311700
2018-04-26,173.9001467429761,175.97849840315857,173.2013938808756,174.92140197753906,1445800
2018-04-27,174.64364600674875,176.4084482699295,174.26739562106528,176.10386657714844,1563100
2018-04-30,176.5697107586057,178.3076253456312,175.93365963622088,176.6234588623047,2165000
2018-05-01,176.0232477462694,176.55178898832014,173.35364014553426,176.07699584960938,1413200
2018-05-02,175.11845455980335,175.20804385117316,172.40406579805955,173.79261779785156,2498100
2018-05-03,173.72094726806418,173.7836625052435,170.37050737947575,172.90573120117188,1815500
2018-05-04,172.75346278071237,175.94264509463628,171.35595715275994,174.8586883544922,1704500
2018-05-07,175.3872276223095,175.40514821639164,172.18909188375946,172.95054626464844,2361900
2018-05-08,172.88785057889726,174.86764570605848,172.3772161507227,174.22264099121094,1908600
2018-05-09,173.92699862410512,175.9605553708724,173.03116033364995,175.62013244628906,1999100
2018-05-10,176.14123340751533,176.93186057073137,174.47909440311733,175.60215759277344,1874200
2018-05-11,175.49436433537653,176.0783517649372,174.8115467875074,175.8806915283203,1296300
2018-05-14,176.06037256083243,177.23734056612835,175.57520159559664,175.98849487304688,1440900
2018-05-15,174.98220393757072,176.72519999639232,173.6345282684941,175.62908935546875,2319600
2018-05-16,176.15917368372462,179.10608985172942,175.1978251906926,178.5310821533203,2163200
2018-05-17,178.8455328464603,180.9029919214256,177.7943475328826,179.33070373535156,2391000
2018-05-18,179.24086399592363,179.25883684343995,177.6955281318992,178.75570678710938,1624600
2018-05-21,179.3307194501234,180.89401449533915,178.87250093609848,179.3486785888672,1202800
2018-05-22,179.43856271066846,181.28038926239878,178.6389421903611,178.7647247314453,1563600
2018-05-23,178.8725071687156,178.8725071687156,176.78810913271064,178.01898193359375,1635100
