Date,Open,High,Low,Close,Volume
2018-01-02,85.64662046970119,85.95696266575261,84.99410533042712,85.90126037597656,13578800
2018-01-03,85.82966760233282,86.3309883379648,85.52728453385421,85.98881530761719,11901000
2018-01-04,86.67672784462768,88.01255265060199,86.54874156005144,87.22065734863281,12953700
2018-01-05,87.39661431944569,87.62858482714373,86.21276588407652,86.66070556640625,14155000
2018-01-08,86.508741577974,86.93268542252277,86.148784766449,86.78870391845703,12466500
2018-01-09,86.96468583452591,87.69258795195748,86.7807070868067,87.22865295410156,13292300
2018-01-10,87.56460451780313,88.54847305018218,87.5006113816116,88.18852233886719,15834500
2018-01-11,88.5244882008345,88.73246286805902,88.02855659024338,88.66046905517578,13676800
2018-01-12,89.30839158417278,90.26826436418868,88.66047166007586,90.12428283691406,18884200
2018-01-16,89.19637441166108,90.73217274603586,88.84441833818016,89.80429077148438,22703300
2018-01-17,89.50035707238814,90.62821328760445,89.0364159582117,90.38024139404297,14940300
2018-01-18,90.1962511399758,90.9641503673333,89.80429780826161,90.59619903564453,14572900
2018-01-19,91.14013599689467,91.46008945785988,90.2282552071574,90.39623260498047,18785500
2018-01-22,90.11627792970341,91.50009446380977,89.98829165226937,91.45210266113281,12475700
2018-01-23,90.92416510264636,91.70006509879042,90.66819865984102,91.35610961914062,12320800
2018-01-24,91.8760577315652,92.78793870997998,91.71608096798177,92.52397155761719,15904500
2018-01-25,92.81991086504631,92.9238951237481,92.05201161695733,92.54794311523438,13510000
2018-01-26,92.54795424609344,93.04389190673828,91.95603298209387,93.04389190673828,13883900
2018-01-29,92.80391736216005,93.86778034778355,92.80391736216005,92.9478988647461,11679900
2018-01-30,92.41195879237769,93.2678470356975,91.97201977355603,92.07600402832031,14279100
2018-01-31,92.50797632234779,93.31587301470556,92.11602897966272,92.52397155761719,13141400
2018-02-01,92.60393540879907,93.579809275229,92.37197099386674,93.48382568359375,13800600
2018-02-02,93.17985538429208,93.52381080524022,91.26010433952852,91.4120864868164,16477300
2018-02-05,90.38823933073382,91.66007091944398,83.17318078793822,87.02867889404297,30097600
2018-02-06,85.46889093230581,89.97230955794102,85.27691759084176,89.67634582519531,33114800
2018-02-07,89.22837851568069,91.54807144270472,88.90841897662615,90.28424072265625,21878300
2018-02-08,90.47622076881505,90.47622076881505,86.26076618977814,86.29276275634766,27425800
2018-02-09,87.26864185726049,88.82844253082479,84.97294451980056,88.02054595947266,28188000
2018-02-12,88.92444583062917,90.17228786642687,88.04456136236549,89.38038635253906,18043300
2018-02-13,89.04441936512471,90.42824208197862,88.62847614485344,89.93230438232422,16358200
2018-02-14,90.09226508492911,92.20398958671622,90.01227672251855,92.01201629638672,15186900
2018-02-15,92.57994583725272,92.7799198037855,91.36410680593073,92.3959732055664,12130200
2018-02-16,91.6280637805419,92.84390267750088,91.58806655056699,91.73204803466797,13214300
2018-02-20,91.70808118905053,92.30000254332091,91.16415164377649,91.75607299804688,13461500
2018-02-21,91.98802485120065,93.94776728737689,91.72405775001803,92.14000701904297,14212500
2018-02-22,92.38798147446639,93.13188494603199,91.79606018503708,91.97203826904297,17070400
2018-02-23,92.23599313195457,93.89977804796868,92.23599313195457,93.83578491210938,12162500
2018-02-26,94.49969938114408,95.10762196260552,93.84378499944562,95.00363159179688,16511200
2018-02-27,95.1156192167892,95.4515740118346,93.86777753091604,93.87577819824219,17563300
2018-02-28,94.24372030180442,94.77964900830888,92.25997608754727,92.3879623413086,17735600
2018-03-01,92.37198981120818,93.29986596811985,90.10828273894658,90.7322006225586,18690000
2018-03-02,89.90031488814289,90.83619178446773,88.88444960886012,90.64421844482422,18353700
2018-03-05,89.62833615701881,92.73192998697186,89.50034988639578,92.03601837158203,13933000
2018-03-06,92.4999438561593,92.64392533497919,91.44408171238695,92.11599731445312,10674400
2018-03-07,90.98816349978863,92.06802180209891,90.47623058457899,91.77206420898438,13006500
2018-03-08,92.07600820564893,92.17199790090042,90.55620492913118,91.78004455566406,11173700
2018-03-09,93.22788019290459,94.4517200827091,92.52396781507667,94.41972351074219,15366600
2018-03-12,94.38772249806314,94.9876444630932,93.78780053303308,94.11576080322266,12339300
2018-03-13,94.54771763987098,94.76369300681937,92.65196776734064,92.98792266845703,13312300
2018-03-14,93.23587688636708,93.2598727902093,91.66808144054596,91.94804382324219,12905100
2018-03-15,92.68393094860224,92.78791520832172,91.85203856268389,92.17999267578125,8748000
2018-03-16,92.2599942328021,93.267864819874,92.2599942328021,92.3399887084961,19888900
2018-03-19,92.06802388871058,92.3479862545106,90.62821482057257,91.6120834350586,13214900
2018-03-20,91.88406728934558,92.34800238970718,91.54810628896402,91.70008850097656,9921200
2018-03-21,91.83603701888057,93.29184716523065,91.35610074806465,91.78004455566406,13633000
2018-03-22,90.54818534347058,90.8681448247373,87.6205704312709,87.94852447509766,22550400
2018-03-23,88.20450333451,88.72443680238162,85.39687359289987,85.59684753417969,23081500
2018-03-26,87.3406317642101,88.91642760032438,86.90868726324062,88.23651123046875,20217500
2018-03-27,88.84443373267415,89.34037136735616,85.82882899829396,86.52473449707031,18039900
2018-03-28,86.6127256702705,87.32463252150208,85.30889757140486,86.38875579833984,19189300
2018-03-29,86.78869834635633,88.6124598789504,86.21277236706958,87.96454620361328,13274600
2018-04-02,87.95654908351749,88.57247232059572,84.85295530663866,86.26876831054688,18822500
2018-04-03,86.67671388774546,87.58859465899125,85.79682968249156,87.4526138305664,14050700
2018-04-04,85.66884682472154,88.95641935277156,85.60485369019337,88.78044128417969,15302600
2018-04-05,89.74518656109379,90.7099329316387,89.55223974045234,89.94617462158203,16627000
2018-04-06,88.87691583770155,89.68086801666341,86.68212369032157,87.70314025878906,18906000
2018-04-09,88.44278389842366,90.83052293160192,88.34630742558414,88.7563247680664,15974300
2018-04-10,90.14716146296942,90.74209053021072,89.5763561149423,90.45266723632812,13951400
